Size, Type, Time, Cores
100, "Sequential", 0.000008, 1
100, "Parallel (2)", 0.000193, 2
100, "Parallel (3)", 0.000249, 3
100, "Parallel (4)", 0.000465, 4
100, "Parallel (5)", 0.000747, 5
100, "Parallel (6)", 0.001269, 6
100, "Parallel (7)", 0.001579, 7
100, "Parallel (8)", 0.002226, 8
100, "Parallel (9)", 0.002344, 9
100, "Parallel (10)", 0.003640, 10
100, "Built-in", 0.000031, 1
100, "Sequential", 0.000008, 1
100, "Parallel (2)", 0.000233, 2
100, "Parallel (3)", 0.000319, 3
100, "Parallel (4)", 0.000587, 4
100, "Parallel (5)", 0.000948, 5
100, "Parallel (6)", 0.001337, 6
100, "Parallel (7)", 0.001451, 7
100, "Parallel (8)", 0.002795, 8
100, "Parallel (9)", 0.004046, 9
100, "Parallel (10)", 0.003361, 10
100, "Built-in", 0.000022, 1
100, "Sequential", 0.000008, 1
100, "Parallel (2)", 0.000173, 2
100, "Parallel (3)", 0.000197, 3
100, "Parallel (4)", 0.000488, 4
100, "Parallel (5)", 0.000760, 5
100, "Parallel (6)", 0.001655, 6
100, "Parallel (7)", 0.001511, 7
100, "Parallel (8)", 0.002752, 8
100, "Parallel (9)", 0.002761, 9
100, "Parallel (10)", 0.003064, 10
100, "Built-in", 0.000025, 1
100, "Sequential", 0.000008, 1
100, "Parallel (2)", 0.000220, 2
100, "Parallel (3)", 0.000339, 3
100, "Parallel (4)", 0.000426, 4
100, "Parallel (5)", 0.000590, 5
100, "Parallel (6)", 0.001051, 6
100, "Parallel (7)", 0.001851, 7
100, "Parallel (8)", 0.002692, 8
100, "Parallel (9)", 0.002674, 9
100, "Parallel (10)", 0.003300, 10
100, "Built-in", 0.000021, 1
100, "Sequential", 0.000007, 1
100, "Parallel (2)", 0.000193, 2
100, "Parallel (3)", 0.000319, 3
100, "Parallel (4)", 0.000671, 4
100, "Parallel (5)", 0.000727, 5
100, "Parallel (6)", 0.001633, 6
100, "Parallel (7)", 0.001708, 7
100, "Parallel (8)", 0.002185, 8
100, "Parallel (9)", 0.002681, 9
